index;x;y;z
757;-0.398849;0.920242;-0.064087
758;-0.400467;0.922195;-0.041687
759;-0.399353;0.912399;-0.044022
760;-0.393723;0.918777;-0.056519
761;-0.400314;0.918976;-0.054062
762;-0.400803;0.920013;-0.047394
763;-0.389969;0.922028;-0.046082
764;-0.389740;0.927429;-0.055405
765;-0.386520;0.910110;-0.058395
766;-0.372284;0.917892;-0.034943
767;-0.387299;0.915970;-0.057510
768;-0.388916;0.913681;-0.053864
769;-0.389313;0.927933;-0.065094
770;-0.381134;0.922897;-0.062042
771;-0.381989;0.914139;-0.049835
772;-0.380127;0.920959;-0.062576
773;-0.373047;0.928391;-0.061996
774;-0.382233;0.922424;-0.066055
775;-0.380051;0.928360;-0.051590
776;-0.380997;0.918732;-0.050262
777;-0.373764;0.925812;-0.073761
778;-0.375763;0.928680;-0.067276
779;-0.381500;0.918335;-0.064285
780;-0.372498;0.914978;-0.057251
